Saved Date,Job Url,Job Title,Company Name
"9/5/21, 3:15 AM",http://www.linkedin.com/jobs/view/2696771284,Chief Executive Officer,Downtown Denver Partnership
"9/5/21, 3:12 AM",http://www.linkedin.com/jobs/view/2667749457,President and CEO,Center for Creative Leadership
"9/19/12, 6:05 AM",http://www.linkedin.com/jobs/view/3766293,Regional Social Impact Fellow,RSF Social Finance
"9/5/21, 3:13 AM",http://www.linkedin.com/jobs/view/2679081256,Chief Executive Officer – Harvard Allston Land Company,Harvard University
